index,state,Year,Month,text,loc_name,likes_count
464606,AK,2021,1,"I wish I could wipe away the pain this has caused to so many of my peers. 

https://t.co/pVFTR1YW9x",Anchorage,582
17145,AK,2021,1,The most Alaska of vaccine stories.... https://t.co/RkSp2mfN4R,Anchorage,33
30178,AK,2021,1,"Here’s a photo from the observation room after having been given my first dose of the COVID-19 vaccine this morning. There is a timestamp visible on my shoulder, indicating when the 15-minute observation period ends. https://t.co/sb9ycKJQ1s",Anchorage,7
455008,AK,2021,1,"Please protect yourself from these predators, and report suspicious activity. https://t.co/LklFy2l6VY",Anchorage,7
36223,AK,2021,1,Truly a weather legend and a sad loss today. https://t.co/TEMuGfWhHg,Anchorage,6
518197,AK,2021,2,"Dang, Alaska. https://t.co/zpZIXrnqb9 https://t.co/2yJlzL4pw8",Anchorage,74
472033,AK,2021,2,"""Native Americans are more willing than the general population to be vaccinated against the coronavirus, primarily out of responsibility to their communities, according to a new report by the Seattle-based Urban Indian Health Institute.""
https://t.co/wz5zXpwIkJ",Anchorage,61
504647,AK,2021,2,So thankful to receive my first Covid-19 vaccine 🧡 #CovidVaccine,Anchorage,46
504457,AK,2021,2,Facts matter. #akleg https://t.co/k2f1sAGItz,Anchorage,21
55722,AK,2021,2,"Regardless of politics, let’s all wish @GovDunleavy a speedy recovery.
It’s important to acknowledge:
1-that he did the right thing in self-isolating right away, thereby protecting others from infection; &amp;
2-he has a heart condition that potentially puts him at higher risk
#akleg https://t.co/aJebsGSuJ6",Anchorage,17
78613,AK,2021,3,Go to Chambers Bay! https://t.co/66SZv4lbJK,Anchorage,257
68711,AK,2021,3,Just signed up to receive the first dose of the COVID-19 vaccine. #MaskUp #CovidVaccine #doingmypart,Anchorage,52
97251,AK,2021,3,It’s done! I have officially hit my 50th state! Woo!! Plus I had a negative #covid19 test AND I got my shot! #winning #alaska #travel #letsgo @ Scenic Seward Highway https://t.co/veGZIcUD3Q,Anchorage,40
91216,AK,2021,3,Celebrating my first dose of the COVID-19 vaccine!!! 💉 #vaccinated https://t.co/O2sTMa0gFm,Anchorage,28
69446,AK,2021,3,I wasted no time signing up for Juneau’s clinic next weekend for me and my husband. Within an hour all 400+ appointments were booked. So thrilled to see how many of my friends are signed up too ❤️ https://t.co/IiXaDwhIGY,Juneau,25
133708,AK,2021,4,"Gobierno.              Coronavirus.
Colombiano
                         🤝
               Aniquilar a los
               Colombianos",Anchorage,324
123082,AK,2021,4,"While our campus has been quieter during the COVID-19 pandemic, a great horned owl has raised a baby in a spruce tree at Cuddy Quad. 🦉 https://t.co/NbomeplipT",Anchorage,22
142071,AK,2021,4,I love talking to strangers so much I went to school for it https://t.co/AuEnNqjmqQ,College,5
116323,AK,2021,4,Don’t toss your Covid cards. Welcome to the new age. https://t.co/hiUji3cP7T,Eagle River,2
114663,AK,2021,4,Denier until t happens to@her and her family. #DoTheRightThing #CovidIsNotAHoax https://t.co/EGqUs3Io0z,Juneau,1
153465,AK,2021,5,"Yeah, as a current Alaska job hunter...y’all don’t pay enough. Across the board, pay people more. https://t.co/5n8Qx2nFua",College,77
153617,AK,2021,5,It’s almost like minimum wage isn’t a liveable wage???! https://t.co/XLFwsWIwKE,Anchorage,4
169757,AK,2021,5,"Ohio... now Colorado... 

🤑 💉 🤑💉🤑💉 https://t.co/PjfLaFQ2wQ",Anchorage,4
159285,AK,2021,5,"Fairbanks, let’s get more people vaccinated. 🌷🌹 https://t.co/ojIuxCIeV7",Fairbanks,2
155257,AK,2021,5,"In Fairbanks, you can now get a Covid-19 vaccine while going to the movies, walking by the J.P. Jones Center and maybe while attending a hockey game! https://t.co/JUKo58FQPG",Fairbanks,1
177349,AK,2021,6,Why this mf WooWalkin in the covid ad? https://t.co/bE4iUje2Kj,Anchorage,0
179057,AK,2021,6,🤨 Excellent question❗️😎🇺🇸🇺🇸🇺🇸 https://t.co/ctSBe5NFz1,Anchorage,0
179920,AK,2021,6,Oh my goodness https://t.co/GcNMoG1alW,Anchorage,0
181207,AK,2021,6,"@michaelcrosby87 @ringofhonor I know Matt Sydel left ROH because of their Coronavirus policy and it's still in place.

I don't think there's much upside for either promotion to do this.",Kotzebue,0
182087,AK,2021,6,👀 https://t.co/a0gsxuTHpf,Ketchikan,0
223959,AK,2021,7,"Listening to a news conference w/hospital CEOs as COVID-19 cases keep going up. 

Hospitals in Anchorage are delaying elective surgeries, restricting visitation again &amp; pleading w/Alaskans to get vaccinated. 

Their message — we *cannot* handle another wave right now. @AKNewsNow",Anchorage,55
